"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","G3R - 1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",3,0,24
"","","","","","","SER-FSDU-CFT-12F",3,0,24
"","","","","","","SER-FSDU-CFT-24F",3,0,24
"","","","","","","SER-FSDU-CFT-48F",3,0,24
"","G3S-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",76,0,1216
"","","","","","","SER-FSDU-CFT-12F",76,0,1216
"","","","","","","SER-FSDU-CFT-24F",76,0,1216
"","","","","","","SER-FSDU-CFT-48F",76,0,1216
"","G3S - 1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",20,0,160
"","","","","","","SER-FSDU-CFT-12F",20,0,160
"","","","","","","SER-FSDU-CFT-24F",20,0,160
"","","","","","","SER-FSDU-CFT-48F",20,0,160
"","G4A-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",159,0,2544
"","","","","","","SER-FSDU-CFT-12F",159,0,2544
"","","","","","","SER-FSDU-CFT-24F",159,0,2544
"","","","","","","SER-FSDU-CFT-48F",159,0,2544
"","G4L-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",162,0,1304
"","","","","","","SER-FSDU-CFT-12F",162,0,1304
"","","","","","","SER-FSDU-CFT-24F",162,0,1304
"","","","","","","SER-FSDU-CFT-48F",162,0,1304
"","G4R-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",0,0,0
"","","","","","","SER-FSDU-CFT-12F",0,0,0
"","","","","","","SER-FSDU-CFT-24F",0,0,0
"","","","","","","SER-FSDU-CFT-48F",0,0,0
"","GA2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",119,0,952
"","","","","","","SER-FSDU-CFT-12F",119,0,952
"","","","","","","SER-FSDU-CFT-24F",119,0,952
"","","","","","","SER-FSDU-CFT-48F",119,0,952
