ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,CJR-0-KTK-11332,CJR-0,2025-05-20,,96,888,SER-FSDU-CFT-6F,2957
,,,,,96,888,SER-FSDU-CFT-12F,1679
,,,,,96,888,SER-FSDU-CFT-24F,711
,,,,,96,888,SER-FSDU-CFT-48F,0
,CJR-0-KTK-11332,CJR-0,2025-07-20,,87,712,SER-FSDU-CFT-6F,3238
,,,,,87,712,SER-FSDU-CFT-12F,657
,,,,,87,712,SER-FSDU-CFT-24F,1441
,,,,,87,712,SER-FSDU-CFT-48F,0
,CLG-0-KTK-11333,CLG-0,2024-03-20,,213,1776,SER-FSDU-CFT-6F,3233
,,,,,213,1776,SER-FSDU-CFT-12F,3427
,,,,,213,1776,SER-FSDU-CFT-24F,3076
,,,,,213,1776,SER-FSDU-CFT-48F,0
,CLG-0-KTK-11333,CLG-0,2024-07-20,,180,1488,SER-FSDU-CFT-6F,2825
,,,,,180,1488,SER-FSDU-CFT-12F,2744
,,,,,180,1488,SER-FSDU-CFT-24F,3083
,,,,,180,1488,SER-FSDU-CFT-48F,0
,CLG-0-KTK-11333,CLG-0,2024-12-20,,168,1344,SER-FSDU-CFT-6F,3884
,,,,,168,1344,SER-FSDU-CFT-12F,2249
,,,,,168,1344,SER-FSDU-CFT-24F,1941
,,,,,168,1344,SER-FSDU-CFT-48F,0
,CLG-0-KTK-11333,CLG-0,2025-01-20,,59,528,SER-FSDU-CFT-6F,2009
,,,,,59,528,SER-FSDU-CFT-12F,1146
,,,,,59,528,SER-FSDU-CFT-24F,800
,,,,,59,528,SER-FSDU-CFT-48F,0
,CMH-0-KTK-11334,CMH-0,2022-12-10,,1,16,SER-FSDU-CFT-6F,1250
,,,,,1,16,SER-FSDU-CFT-12F,0
,,,,,1,16,SER-FSDU-CFT-24F,0
,,,,,1,16,SER-FSDU-CFT-48F,0
,CMH-0-KTK-11334,CMH-0,2024-07-20,,292,2680,SER-FSDU-CFT-6F,11946
,,,,,292,2680,SER-FSDU-CFT-12F,6443
,,,,,292,2680,SER-FSDU-CFT-24F,6428
,,,,,292,2680,SER-FSDU-CFT-48F,0
,CMH-0-KTK-11334,CMH-0,2025-05-20,,0,0,SER-FSDU-CFT-6F,160
,,,,,0,0,SER-FSDU-CFT-12F,0
,,,,,0,0,SER-FSDU-CFT-24F,0
,,,,,0,0,SER-FSDU-CFT-48F,0
,CMR-0-KTK-11335,CMR-0,2024-08-20,,117,1184,SER-FSDU-CFT-6F,4165
,,,,,117,1184,SER-FSDU-CFT-12F,905
,,,,,117,1184,SER-FSDU-CFT-24F,2682
,,,,,117,1184,SER-FSDU-CFT-48F,0
,CMR-0-KTK-11335,CMR-0,2024-09-20,,48,464,SER-FSDU-CFT-6F,1715
,,,,,48,464,SER-FSDU-CFT-12F,467
,,,,,48,464,SER-FSDU-CFT-24F,833
,,,,,48,464,SER-FSDU-CFT-48F,0
,CMR-0-KTK-11335,CMR-0,2025-03-20,,16,136,SER-FSDU-CFT-6F,1190
,,,,,16,136,SER-FSDU-CFT-12F,0
,,,,,16,136,SER-FSDU-CFT-24F,0
,,,,,16,136,SER-FSDU-CFT-48F,0
,CMR-0-KTK-11335,CMR-0,2025-04-20,,4,32,SER-FSDU-CFT-6F,293
,,,,,4,32,SER-FSDU-CFT-12F,0
,,,,,4,32,SER-FSDU-CFT-24F,0
,,,,,4,32,SER-FSDU-CFT-48F,0
,CNH-0-KTK-11336,CNH-0,2024-08-20,,50,520,SER-FSDU-CFT-6F,1051
,,,,,50,520,SER-FSDU-CFT-12F,407
,,,,,50,520,SER-FSDU-CFT-24F,1477
,,,,,50,520,SER-FSDU-CFT-48F,0
