"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","","SER-FSDU-CFT-24F",59,0,664
"","","","","","","SER-FSDU-CFT-48F",59,0,664
"","CTO-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",272,0,2176
"","","","","","","SER-FSDU-CFT-12F",272,0,2176
"","","","","","","SER-FSDU-CFT-24F",272,0,2176
"","","","","","","SER-FSDU-CFT-48F",272,0,2176
"","DHL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",302,0,2976
"","","","","","","SER-FSDU-CFT-12F",302,0,2976
"","","","","","","SER-FSDU-CFT-24F",302,0,2976
"","","","","","","SER-FSDU-CFT-48F",302,0,2976
"","DLW-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",107,0,920
"","","","","","","SER-FSDU-CFT-12F",107,0,920
"","","","","","","SER-FSDU-CFT-24F",107,0,920
"","","","","","","SER-FSDU-CFT-48F",107,0,920
"","DLZ-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",172,0,1512
"","","","","","","SER-FSDU-CFT-12F",172,0,1512
"","","","","","","SER-FSDU-CFT-24F",172,0,1512
"","","","","","","SER-FSDU-CFT-48F",172,0,1512
"","DRK-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",139,0,1112
"","","","","","","SER-FSDU-CFT-12F",139,0,1112
"","","","","","","SER-FSDU-CFT-24F",139,0,1112
"","","","","","","SER-FSDU-CFT-48F",139,0,1112
"","DRR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",296,0,3199
"","","","","","","SER-FSDU-CFT-12F",296,0,3199
"","","","","","","SER-FSDU-CFT-24F",296,0,3199
"","","","","","","SER-FSDU-CFT-48F",296,0,3199
"","DSR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",182,0,1560
"","","","","","","SER-FSDU-CFT-12F",182,0,1560
"","","","","","","SER-FSDU-CFT-24F",182,0,1560
"","","","","","","SER-FSDU-CFT-48F",182,0,1560
"","DTT-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",359,0,3096
"","","","","","","SER-FSDU-CFT-12F",359,0,3096
"","","","","","","SER-FSDU-CFT-24F",359,0,3096
"","","","","","","SER-FSDU-CFT-48F",359,0,3096
"","EJP-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",320,0,3533
"","","","","","","SER-FSDU-CFT-12F",320,0,3533
"","","","","","","SER-FSDU-CFT-24F",320,0,3533
"","","","","","","SER-FSDU-CFT-48F",320,0,3533
"","EMI-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",97,0,920
"","","","","","","SER-FSDU-CFT-12F",97,0,920
"","","","","","","SER-FSDU-CFT-24F",97,0,920
"","","","","","","SER-FSDU-CFT-48F",97,0,920
"","EMR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",405,0,3800
"","","","","","","SER-FSDU-CFT-12F",405,0,3800
"","","","","","","SER-FSDU-CFT-24F",405,0,3800
"","","","","","","SER-FSDU-CFT-48F",405,0,3800
"","ENL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",350,0,2880
"","","","","","","SER-FSDU-CFT-12F",350,0,2880
"","","","","","","SER-FSDU-CFT-24F",350,0,2880
"","","","","","","SER-FSDU-CFT-48F",350,0,2880
"","EPR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",259,0,3248
"","","","","","","SER-FSDU-CFT-12F",259,0,3248
"","","","","","","SER-FSDU-CFT-24F",259,0,3248
"","","","","","","SER-FSDU-CFT-48F",259,0,3248
"","ESL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",48,0,568
"","","","","","","SER-FSDU-CFT-12F",48,0,568
"","","","","","","SER-FSDU-CFT-24F",48,0,568
"","","","","","","SER-FSDU-CFT-48F",48,0,568
"","EWL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",128,0,1200
"","","","","","","SER-FSDU-CFT-12F",128,0,1200
"","","","","","","SER-FSDU-CFT-24F",128,0,1200
"","","","","","","SER-FSDU-CFT-48F",128,0,1200
"","EWS-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",373,0,4592
"","","","","","","SER-FSDU-CFT-12F",373,0,4592
"","","","","","","SER-FSDU-CFT-24F",373,0,4592
"","","","","","","SER-FSDU-CFT-48F",373,0,4592
"","FCE-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",238,0,1960
"","","","","","","SER-FSDU-CFT-12F",238,0,1960
"","","","","","","SER-FSDU-CFT-24F",238,0,1960
"","","","","","","SER-FSDU-CFT-48F",238,0,1960
"","GBP-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",380,0,3302
"","","","","","","SER-FSDU-CFT-12F",380,0,3302
"","","","","","","SER-FSDU-CFT-24F",380,0,3302
"","","","","","","SER-FSDU-CFT-48F",380,0,3302
"","GDH-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",297,0,2736
"","","","","","","SER-FSDU-CFT-12F",297,0,2736
"","","","","","","SER-FSDU-CFT-24F",297,0,2736
"","","","","","","SER-FSDU-CFT-48F",297,0,2736
"","GDX-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",425,0,3456
"","","","","","","SER-FSDU-CFT-12F",425,0,3456
"","","","","","","SER-FSDU-CFT-24F",425,0,3456
"","","","","","","SER-FSDU-CFT-48F",425,0,3456
"","GEH-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",364,0,2976
"","","","","","","SER-FSDU-CFT-12F",364,0,2976
"","","","","","","SER-FSDU-CFT-24F",364,0,2976
"","","","","","","SER-FSDU-CFT-48F",364,0,2976
"","GEM-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",242,0,1942
"","","","","","","SER-FSDU-CFT-12F",242,0,1942
